sample_n,real,imag
        536,     -12288,          0
        537,     -11264,          0
        538,     -11264,          0
        539,     -11264,          0
        540,     -10240,          0
        541,     -10240,          0
        542,     -10240,          0
        543,      -9216,          0
        544,      -9216,          0
        545,      -8192,          0
        546,      -8192,          0
        547,      -8192,          0
        548,      -7168,          0
        549,      -7168,          0
        550,      -6144,          0
        551,      -6144,          0
        552,      -5120,          0
        553,      -5120,          0
        554,      -5120,          0
        555,      -4096,          0
        556,      -4096,          0
        557,      -3072,          0
        558,      -3072,          0
        559,      -2048,          0
        560,      -2048,          0
        561,      -1024,          0
        562,      -1024,          0
        563,          0,          0
        564,          0,          0
        565,          0,          0
        566,       1024,          0
        567,       1024,          0
        568,       2048,          0
        569,       2048,          0
        570,       3072,          0
        571,       3072,          0
        572,       3072,          0
        573,       4096,          0
        574,       4096,          0
        575,       5120,          0
        576,       5120,          0
        577,       6144,          0
        578,       6144,          0
        579,       7168,          0
        580,       7168,          0
        581,       7168,          0
        582,       8192,          0
        583,       8192,          0
        584,       9216,          0
        585,       9216,          0
        586,       9216,          0
        587,      10240,          0
        588,      10240,          0
        589,      10240,          0
        590,      11264,          0
        591,      11264,          0
        592,      11264,          0
        593,      12288,          0
        594,      12288,          0
        595,      12288,          0
        596,      13312,          0
        597,      13312,          0
        598,      13312,          0
        599,      13312,          0
        600,      13312,          0
        601,      14336,          0
        602,      14336,          0
        603,      14336,          0
        604,      14336,          0
        605,      14336,          0
        606,      14336,          0
        607,      15360,          0
        608,      15360,          0
        609,      15360,          0
        610,      15360,          0
        611,      15360,          0
        612,      15360,          0
        613,      15360,          0
        614,      15360,          0
        615,      15360,          0
        616,      15360,          0
        617,      15360,          0
        618,      15360,          0
        619,      15360,          0
        620,      15360,          0
        621,      15360,          0
        622,      14336,          0
        623,      14336,          0
        624,      14336,          0
        625,      14336,          0
        626,      14336,          0
        627,      14336,          0
        628,      14336,          0
        629,      13312,          0
        630,      13312,          0
        631,      13312,          0
        632,      13312,          0
        633,      12288,          0
        634,      12288,          0
        635,      12288,          0
        636,      12288,          0
        637,      11264,          0
        638,      11264,          0
        639,      11264,          0
        640,      10240,          0
        641,      10240,          0
        642,      10240,          0
        643,       9216,          0
        644,       9216,          0
        645,       8192,          0
        646,       8192,          0
        647,       8192,          0
        648,       7168,          0
        649,       7168,          0
        650,       6144,          0
        651,       6144,          0
        652,       6144,          0
        653,       5120,          0
        654,       5120,          0
        655,       4096,          0
        656,       4096,          0
        657,       3072,          0
        658,       3072,          0
        659,       2048,          0
        660,       2048,          0
        661,       1024,          0
        662,       1024,          0
        663,          0,          0
        664,          0,          0
        665,          0,          0
        666,          0,          0
        667,      -1024,          0
        668,      -1024,          0
        669,      -2048,          0
        670,      -2048,          0
        671,      -3072,          0
        672,      -3072,          0
        673,      -4096,          0
        674,      -4096,          0
        675,      -5120,          0
        676,      -5120,          0
        677,      -6144,          0
        678,      -6144,          0
        679,      -6144,          0
        680,      -7168,          0
        681,      -7168,          0
        682,      -8192,          0
        683,      -8192,          0
        684,      -9216,          0
        685,      -9216,          0
        686,      -9216,          0
        687,     -10240,          0
        688,     -10240,          0
        689,     -11264,          0
        690,     -11264,          0
        691,     -11264,          0
        692,     -12288,          0
        693,     -12288,          0
        694,     -12288,          0
        695,     -12288,          0
        696,     -13312,          0
        697,     -13312,          0
        698,     -13312,          0
        699,     -14336,          0
        700,     -14336,          0
        701,     -14336,          0
        702,     -14336,          0
        703,     -14336,          0
        704,     -15360,          0
        705,     -15360,          0
        706,     -15360,          0
        707,     -15360,          0
        708,     -15360,          0
        709,     -15360,          0
        710,     -15360,          0
        711,     -16384,          0
        712,     -16384,          0
        713,     -16384,          0
        714,     -16384,          0
        715,     -16384,          0
        716,     -16384,          0
        717,     -16384,          0
        718,     -16384,          0
        719,     -16384,          0
        720,     -16384,          0
        721,     -16384,          0
        722,     -16384,          0
        723,     -15360,          0
        724,     -15360,          0
        725,     -15360,          0
        726,     -15360,          0
        727,     -15360,          0
        728,     -15360,          0
        729,     -15360,          0
        730,     -15360,          0
        731,     -14336,          0
        732,     -14336,          0
        733,     -14336,          0
        734,     -14336,          0
        735,     -14336,          0
        736,     -13312,          0
        737,     -13312,          0
        738,     -13312,          0
        739,     -12288,          0
        740,     -12288,          0
        741,     -12288,          0
        742,     -11264,          0
        743,     -11264,          0
        744,     -11264,          0
        745,     -10240,          0
        746,     -10240,          0
        747,     -10240,          0
        748,      -9216,          0
        749,      -9216,          0
        750,      -8192,          0
        751,      -8192,          0
        752,      -7168,          0
        753,      -7168,          0
        754,      -7168,          0
        755,      -6144,          0
        756,      -6144,          0
        757,      -5120,          0
        758,      -5120,          0
        759,      -4096,          0
        760,      -4096,          0
        761,      -3072,          0
        762,      -3072,          0
        763,      -2048,          0
        764,      -2048,          0
        765,      -1024,          0
        766,      -1024,          0
        767,      -1024,          0
        768,          0,          0
        769,          0,          0
        770,          0,          0
        771,       1024,          0
        772,       1024,          0
        773,       2048,          0
        774,       2048,          0
        775,       3072,          0
        776,       3072,          0
        777,       4096,          0
        778,       4096,          0
        779,       4096,          0
        780,       5120,          0
        781,       5120,          0
        782,       6144,          0
        783,       6144,          0
        784,       7168,          0
        785,       7168,          0
        786,       7168,          0
        787,       8192,          0
        788,       8192,          0
        789,       9216,          0
        790,       9216,          0
        791,       9216,          0
        792,      10240,          0
        793,      10240,          0
        794,      10240,          0
        795,      11264,          0
        796,      11264,          0
        797,      11264,          0
        798,      12288,          0
        799,      12288,          0
        800,      12288,          0
        801,      12288,          0
        802,      13312,          0
        803,      13312,          0
        804,      13312,          0
        805,      13312,          0
        806,      14336,          0
        807,      14336,          0
        808,      14336,          0
        809,      14336,          0
        810,      14336,          0
        811,      14336,          0
        812,      14336,          0
        813,      15360,          0
        814,      15360,          0
        815,      15360,          0
        816,      15360,          0
        817,      15360,          0
        818,      15360,          0
        819,      15360,          0
        820,      15360,          0
        821,      15360,          0
        822,      15360,          0
        823,      15360,          0
        824,      15360,          0
        825,      15360,          0
        826,      15360,          0
        827,      14336,          0
        828,      14336,          0
        829,      14336,          0
        830,      14336,          0
        831,      14336,          0
        832,      14336,          0
        833,      13312,          0
        834,      13312,          0
        835,      13312,          0
        836,      13312,          0
        837,      12288,          0
        838,      12288,          0
        839,      12288,          0
        840,      12288,          0
        841,      11264,          0
        842,      11264,          0
        843,      11264,          0
        844,      10240,          0
        845,      10240,          0
        846,      10240,          0
        847,       9216,          0
        848,       9216,          0
        849,       9216,          0
        850,       8192,          0
        851,       8192,          0
        852,       8192,          0
        853,       7168,          0
        854,       7168,          0
        855,       6144,          0
        856,       6144,          0
        857,       5120,          0
        858,       5120,          0
        859,       5120,          0
        860,       4096,          0
        861,       4096,          0
        862,       3072,          0
        863,       3072,          0
        864,       2048,          0
        865,       2048,          0
        866,       1024,          0
        867,       1024,          0
        868,          0,          0
        869,          0,          0
        870,          0,          0
        871,          0,          0
        872,      -1024,          0
        873,      -1024,          0
        874,      -2048,          0
        875,      -2048,          0
        876,      -3072,          0
        877,      -3072,          0
        878,      -4096,          0
        879,      -4096,          0
        880,      -5120,          0
        881,      -5120,          0
        882,      -6144,          0
        883,      -6144,          0
        884,      -6144,          0
        885,      -7168,          0
        886,      -7168,          0
        887,      -8192,          0
        888,      -8192,          0
        889,      -9216,          0
        890,      -9216,          0
        891,      -9216,          0
        892,     -10240,          0
        893,     -10240,          0
        894,     -10240,          0
        895,     -11264,          0
        896,     -11264,          0
        897,     -11264,          0
        898,     -12288,          0
        899,     -12288,          0
        900,     -12288,          0
        901,     -13312,          0
        902,     -13312,          0
        903,     -13312,          0
        904,     -13312,          0
        905,     -14336,          0
        906,     -14336,          0
        907,     -14336,          0
        908,     -14336,          0
        909,     -14336,          0
        910,     -15360,          0
        911,     -15360,          0
        912,     -15360,          0
        913,     -15360,          0
        914,     -15360,          0
        915,     -15360,          0
        916,     -15360,          0
        917,     -15360,          0
        918,     -16384,          0
        919,     -16384,          0
        920,     -16384,          0
        921,     -16384,          0
        922,     -16384,          0
        923,     -16384,          0
        924,     -16384,          0
        925,     -16384,          0
        926,     -15360,          0
        927,     -15360,          0
        928,     -15360,          0
        929,     -15360,          0
        930,     -15360,          0
        931,     -15360,          0
        932,     -15360,          0
        933,     -15360,          0
        934,     -14336,          0
        935,     -14336,          0
        936,     -14336,          0
        937,     -14336,          0
        938,     -14336,          0
        939,     -13312,          0
        940,     -13312,          0
        941,     -13312,          0
        942,     -13312,          0
        943,     -12288,          0
        944,     -12288,          0
        945,     -12288,          0
        946,     -11264,          0
        947,     -11264,          0
        948,     -11264,          0
        949,     -10240,          0
        950,     -10240,          0
        951,     -10240,          0
        952,      -9216,          0
        953,      -9216,          0
        954,      -8192,          0
        955,      -8192,          0
