index,freq_hz,real,imag
       1744,40875.00,         -1,         -1
       1745,40898.44,          0,          0
       1746,40921.88,         -1,          0
       1747,40945.31,         -1,          0
       1748,40968.75,          0,          0
       1749,40992.19,          0,          0
       1750,41015.62,          0,          0
       1751,41039.06,         -1,         -1
       1752,41062.50,         -1,         -1
       1753,41085.94,          0,          0
       1754,41109.38,          0,          0
       1755,41132.81,          0,          0
       1756,41156.25,          0,          0
       1757,41179.69,         -1,          0
       1758,41203.12,         -1,          0
       1759,41226.56,          0,         -1
       1760,41250.00,          0,          0
       1761,41273.44,          0,          0
       1762,41296.88,         -1,          0
       1763,41320.31,          0,          0
       1764,41343.75,          0,         -1
       1765,41367.19,          0,         -1
       1766,41390.62,          0,          0
       1767,41414.06,          0,         -1
       1768,41437.50,          0,         -1
       1769,41460.94,          0,          0
       1770,41484.38,         -1,          0
       1771,41507.81,          0,          0
       1772,41531.25,          0,          0
       1773,41554.69,          0,          0
       1774,41578.12,          0,          0
       1775,41601.56,          0,          0
       1776,41625.00,          0,          0
       1777,41648.44,          0,         -1
       1778,41671.88,          0,          0
       1779,41695.31,          0,          0
       1780,41718.75,         -1,         -1
       1781,41742.19,          0,          0
       1782,41765.62,          0,          0
       1783,41789.06,          0,         -1
       1784,41812.50,          0,          0
       1785,41835.94,          0,         -1
       1786,41859.38,          0,          0
       1787,41882.81,          0,          0
       1788,41906.25,          0,          0
       1789,41929.69,          0,          0
       1790,41953.12,          0,          0
       1791,41976.56,          0,          0
       1792,42000.00,          0,          0
       1793,42023.44,          0,          0
       1794,42046.88,          0,          0
       1795,42070.31,          0,         -1
       1796,42093.75,          0,          0
       1797,42117.19,          0,          0
       1798,42140.62,          0,          0
       1799,42164.06,          0,          0
       1800,42187.50,         -1,          0
       1801,42210.94,         -1,          0
       1802,42234.38,          0,          0
       1803,42257.81,          0,          0
       1804,42281.25,         -1,          0
       1805,42304.69,          0,          0
       1806,42328.12,          0,          0
       1807,42351.56,          0,          0
       1808,42375.00,          0,          0
       1809,42398.44,          0,         -1
       1810,42421.88,          0,          0
       1811,42445.31,          0,          0
       1812,42468.75,          0,          0
       1813,42492.19,          0,         -1
       1814,42515.62,          0,         -1
       1815,42539.06,         -1,         -1
       1816,42562.50,          0,          0
       1817,42585.94,          0,          0
       1818,42609.38,          0,         -1
       1819,42632.81,          0,          0
       1820,42656.25,          0,          0
       1821,42679.69,          0,          0
       1822,42703.12,          0,          0
       1823,42726.56,          0,          0
       1824,42750.00,          0,          0
